link;price;date;address
/realestateandhomes-detail/1245-Daly-St_Philadelphia_PA_19148_M43384-39561;245000.0;Jul 6, 2023;1245 Daly St, Philadelphia, PA 19148
/realestateandhomes-detail/1911-S-Sartain-St_Philadelphia_PA_19148_M35256-20716;278000.0;Jul 6, 2023;1911 S Sartain St, Philadelphia, PA 19148
/realestateandhomes-detail/3444-W-Allegheny-Ave_Philadelphia_PA_19132_M33401-22227;292000.0;Jul 6, 2023;3444 W Allegheny Ave, Philadelphia, PA 19132
/realestateandhomes-detail/520-N-21st-St_Philadelphia_PA_19130_M39558-60548;610000.0;Jul 6, 2023;520 N 21st St, Philadelphia, PA 19130
/realestateandhomes-detail/5527-Willows-Ave_Philadelphia_PA_19143_M35987-94580;259000.0;Jul 6, 2023;5527 Willows Ave, Philadelphia, PA 19143
/realestateandhomes-detail/2230-Locust-St_Philadelphia_PA_19103_M40543-88551;1695000.0;Jul 6, 2023;2230 Locust St, Philadelphia, PA 19103
/realestateandhomes-detail/1635-Worrell-St_Philadelphia_PA_19124_M34854-92970;135000.0;Jul 6, 2023;1635 Worrell St, Philadelphia, PA 19124
/realestateandhomes-detail/3382-Agate-St_Philadelphia_PA_19134_M36886-85628;199900.0;Jul 6, 2023;3382 Agate St, Philadelphia, PA 19134
/realestateandhomes-detail/3900-Ford-Rd-Apt-8B_Philadelphia_PA_19131_M33368-82536;107900.0;Jul 6, 2023;3900 Ford Rd Apt 8B, Philadelphia, PA 19131
/realestateandhomes-detail/6384-Sherwood-Rd_Philadelphia_PA_19151_M46571-97362;430000.0;Jul 6, 2023;6384 Sherwood Rd, Philadelphia, PA 19151
/realestateandhomes-detail/717-S-Columbus-Blvd-Unit-1007_Philadelphia_PA_19147_M43679-21109;337000.0;Jul 6, 2023;717 S Columbus Blvd Unit 1007, Philadelphia, PA 19147
/realestateandhomes-detail/1612-Rhawn-St_Philadelphia_PA_19111_M39148-36186;225000.0;Jul 6, 2023;1612 Rhawn St, Philadelphia, PA 19111
/realestateandhomes-detail/5317-Catharine-St_Philadelphia_PA_19143_M31497-45568;465000.0;Jul 6, 2023;5317 Catharine St, Philadelphia, PA 19143
/realestateandhomes-detail/8927-Dewees-St_Philadelphia_PA_19152_M34471-74501;352800.0;Jul 6, 2023;8927 Dewees St, Philadelphia, PA 19152
/realestateandhomes-detail/917-Unruh-Ave_Philadelphia_PA_19111_M38427-37440;400000.0;Jul 6, 2023;917 Unruh Ave, Philadelphia, PA 19111
/realestateandhomes-detail/4642-Reach-St_Philadelphia_PA_19120_M41570-52217;165000.0;Jul 6, 2023;4642 Reach St, Philadelphia, PA 19120
/realestateandhomes-detail/2526-W-Montgomery-Ave_Philadelphia_PA_19121_M31635-89759;200000.0;Jul 6, 2023;2526 W Montgomery Ave, Philadelphia, PA 19121
/realestateandhomes-detail/2706-N-Front-St_Philadelphia_PA_19133_M36048-86753;60000.0;Jul 6, 2023;2706 N Front St, Philadelphia, PA 19133
/realestateandhomes-detail/6033-Woodcrest-Ave_Philadelphia_PA_19131_M46864-49750;350000.0;Jul 6, 2023;6033 Woodcrest Ave, Philadelphia, PA 19131
/realestateandhomes-detail/4326-Malta-St_Philadelphia_PA_19124_M35211-19212;237500.0;Jul 6, 2023;4326 Malta St, Philadelphia, PA 19124
/realestateandhomes-detail/2624-E-Somerset-St_Philadelphia_PA_19134_M44984-78564;540000.0;Jul 6, 2023;2624 E Somerset St, Philadelphia, PA 19134
/realestateandhomes-detail/134-E-Loudon-St_Philadelphia_PA_19120_M37705-18489;185000.0;Jul 6, 2023;134 E Louden St, Philadelphia, PA 19120
/realestateandhomes-detail/8013-Anderson-St_Philadelphia_PA_19118_M47685-15807;545000.0;Jul 6, 2023;8013 Anderson St, Philadelphia, PA 19118
/realestateandhomes-detail/5011-Hawthorne-St_Philadelphia_PA_19124_M46257-18859;70000.0;Jul 6, 2023;5011 Hawthorne St, Philadelphia, PA 19124
/realestateandhomes-detail/357-Durfor-St_Philadelphia_PA_19148_M45227-51134;265000.0;Jul 6, 2023;357 Durfor St, Philadelphia, PA 19148
/realestateandhomes-detail/5458-N-11th-St_Philadelphia_PA_19141_M38568-95349;100000.0;Jul 6, 2023;5458 N 11th St, Philadelphia, PA 19141
/realestateandhomes-detail/810-S-12th-St-B_Philadelphia_PA_19147_M42170-60410;337500.0;Jul 6, 2023;810 S 12th St # B, Philadelphia, PA 19147
/realestateandhomes-detail/2736-Taunton-St_Philadelphia_PA_19152_M33489-94518;359900.0;Jul 6, 2023;2736 Taunton St, Philadelphia, PA 19152
/realestateandhomes-detail/3169-Memphis-St_Philadelphia_PA_19134_M46328-22287;172000.0;Jul 6, 2023;3169 Memphis St, Philadelphia, PA 19134
/realestateandhomes-detail/1962-Georgian-Rd_Philadelphia_PA_19138_M47203-45464;222000.0;Jul 6, 2023;1962 Georgian Rd, Philadelphia, PA 19138
/realestateandhomes-detail/7208-Algard-St_Philadelphia_PA_19135_M48417-19263;150000.0;Jul 6, 2023;7208 Algard St, Philadelphia, PA 19135
/realestateandhomes-detail/5854-Magdalena-St_Philadelphia_PA_19128_M30076-87123;315000.0;Jul 6, 2023;5854 Magdalena St, Philadelphia, PA 19128
/realestateandhomes-detail/706-S-Bancroft-St_Philadelphia_PA_19146_M35170-00850;639000.0;Jul 6, 2023;706 S Bancroft St, Philadelphia, PA 19146
/realestateandhomes-detail/1115-N-American-St-Unit-B1_Philadelphia_PA_19123_M99559-94677;280000.0;Jul 6, 2023;1115 N American St Unit B1, Philadelphia, PA 19123
